Date,N225 Open,N225 High,N225 Low,N225 Close,N225 Adj Close,N225 Volume,RUT Open,RUT High,RUT Low,RUT Close,RUT Adj Close,RUT Volume,STOXX50E Open,STOXX50E High,STOXX50E Low,STOXX50E Close,STOXX50E Adj Close,STOXX50E Volume,IXIC Open,IXIC High,IXIC Low,IXIC Close,IXIC Adj Close,IXIC Volume,DJI Open,DJI High,DJI Low,DJI Close,DJI Adj Close,DJI Volume,GSPC Open,GSPC High,GSPC Low,GSPC Close,GSPC Adj Close,GSPC Volume,USD,GBP,EUR,CAD,CHF,SEK,DKK,NOK,AUD,NZD,ZAR,BHD,CNY,HKD,INR,PHP,SGD,THB,KWD,SAR,AED,MXN,PGK,HUF,CZK,PLN,IDR(100),MYR,KRW(100),TWD,Answer
2014-01-06,16147.540038999998,16164.009766,15864.44043,15908.879883,15908.879883,192700.0,1159.27002,1159.849976,1146.969971,1147.160034,1147.160034,32948500,3069.159912,3069.159912,3069.159912,3069.159912,3069.159912,0.0,4137.029785,4139.779785,4103.75,4113.680176,4113.680176,2292840000,16474.039063,16532.990234,16405.519531,16425.099609,16425.099609,89380000,1832.310059,1837.160034,1823.72998,1826.77002,1826.77002,3294850000,104.66,171.8,142.33,98.55,115.65,16.04,19.08,17.02,94.0,86.61,9.82,277.91,17.31,13.5,1.69,2.34,82.55,3.17,370.87,27.92,28.5,7.98,44.59,0.47,5.18,34.15,0.86,31.83,9.89,3.5,0
2014-01-07,15835.410156,15935.370117,15784.25,15814.370117,15814.370117,165900.0,1150.859985,1160.02002,1150.859985,1157.630005,1157.630005,35117500,3110.959961,3110.959961,3110.959961,3110.959961,3110.959961,0.0,4128.569824,4158.180176,4126.47998,4153.180176,4153.180176,2278220000,16429.019531,16562.320313,16429.019531,16530.939453,16530.939453,81270000,1828.709961,1840.099976,1828.709961,1837.880005,1837.880005,3511750000,104.46,171.36,142.28,97.95,115.4,16.04,19.07,16.92,93.32,86.4,9.79,277.38,17.28,13.47,1.68,2.34,82.29,3.16,370.16,27.86,28.44,7.99,44.5,0.48,5.19,34.09,0.86,31.73,9.78,3.48,0
2014-01-08,15943.679688,16121.450195,15906.570313,16121.450195,16121.450195,206700.0,1159.180054,1159.369995,1151.969971,1157.459961,1157.459961,36521400,3110.659912,3110.659912,3110.659912,3110.659912,3110.659912,0.0,4154.279785,4171.75,4145.0,4165.6098630000015,4165.6098630000015,2345220000,16527.660156,16528.880859,16416.689453,16462.740234,16462.740234,103260000,1837.900024,1840.02002,1831.400024,1837.48999,1837.48999,3652140000,104.78,171.62,142.57,97.14,115.13,16.08,19.11,16.98,93.45,86.74,9.86,278.23,17.36,13.51,1.68,2.34,82.35,3.17,371.3,27.95,28.53,8.04,44.53,0.48,5.21,34.16,0.86,31.91,9.84,3.48,1
2014-01-09,16002.879883,16004.55957,15838.44043,15880.330078,15880.330078,217400.0,1161.26001,1163.880005,1152.170044,1158.349976,1158.349976,35811500,3090.26001,3090.26001,3090.26001,3090.26001,3090.26001,0.0,4179.040039,4182.740234000001,4142.700195,4156.189941,4156.189941,2214770000,16471.410156,16525.349609,16378.610352000003,16444.759766,16444.759766,83990000,1839.0,1843.22998,1830.380005,1838.130005,1838.130005,3581150000,104.86,172.53,142.35,96.89,115.0,15.96,19.08,16.91,93.39,86.66,9.76,278.44,17.37,13.52,1.69,2.35,82.42,3.17,371.58,27.97,28.55,7.98,44.57,0.48,5.2,34.14,0.86,31.96,9.84,3.49,0
2014-01-10,15785.150391,15922.139647999997,15754.700195,15912.05957,15912.05957,237500.0,1160.170044,1164.530029,1154.890015,1164.530029,1164.530029,33357100,3104.149902,3104.149902,3104.149902,3104.149902,3104.149902,0.0,4168.939941,4174.680176,4142.209961,4174.669922,4174.669922,2143070000,16453.619141,16487.650391,16379.019531,16437.050781,16437.050781,85190000,1840.060059,1843.150024,1832.430054,1842.369995,1842.369995,3335710000,104.95,172.95,142.84,96.67,115.7,16.02,19.14,17.0,93.27,86.51,9.71,278.68,17.38,13.53,1.7,2.35,82.56,3.19,371.9,27.99,28.58,8.01,44.6,0.48,5.22,34.22,0.86,32.01,9.86,3.5,1
2014-01-14,15657.200195,15661.709961000002,15383.69043,15422.400391,15422.400391,214500.0,1151.72998,1163.430054,1151.0,1163.430054,1163.430054,33532700,3119.530029,3119.530029,3119.530029,3119.530029,3119.530029,0.0,4129.600098,4183.839844,4125.810059,4183.02002,4183.02002,2034180000,16261.990234,16373.919922,16260.830078,16373.860352000003,16373.860352000003,98610000,1821.359985,1839.26001,1821.359985,1838.880005,1838.880005,3353270000,103.32,169.41,141.17,94.88,114.85,15.87,18.92,16.87,93.35,86.52,9.55,274.35,17.14,13.32,1.68,2.32,81.62,3.14,365.99,27.56,28.14,7.9,42.36,0.47,5.17,34.07,0.86,31.66,9.78,3.45,0
2014-01-15,15649.070313,15808.730469,15636.570313,15808.730469,15808.730469,185800.0,1165.98999,1171.969971,1165.98999,1171.349976,1171.349976,37778000,3168.76001,3168.76001,3168.76001,3168.76001,3168.76001,0.0,4196.529785,4218.790039,4195.97998,4214.879883,4214.879883,2101870000,16378.030272999997,16505.279297,16376.780272999997,16481.939453,16481.939453,101130000,1840.52002,1850.839966,1840.52002,1848.380005,1848.380005,3777800000,104.13,171.12,142.39,95.1,115.33,16.18,19.08,17.11,93.4,87.18,9.6,276.43,17.31,13.43,1.7,2.33,82.1,3.18,368.73,27.77,28.36,7.96,42.69,0.48,5.2,34.39,0.87,31.84,9.82,3.47,1
2014-01-16,15845.150391,15941.080078,15710.139647999997,15747.200195,15747.200195,214200.0,1172.709961,1173.130005,1168.699951,1173.130005,1173.130005,34913100,3150.199951,3150.199951,3150.199951,3150.199951,3150.199951,0.0,4209.589844,4219.279785,4204.160156,4218.689941,4218.689941,2005850000,16477.699219,16477.699219,16375.55957,16417.009766,16417.009766,87370000,1847.98999,1847.98999,1840.300049,1845.890015,1845.890015,3491310000,104.87,171.51,142.54,95.68,115.28,16.19,19.1,17.08,92.46,87.28,9.61,278.39,17.4,13.52,1.71,2.33,82.28,3.19,371.22,27.97,28.55,7.93,44.57,0.47,5.18,34.28,0.87,31.82,9.85,3.49,0
2014-01-17,15695.459961000002,15783.370117,15621.799805,15734.459961000002,15734.459961000002,180100.0,1172.089966,1173.369995,1166.76001,1168.430054,1168.430054,36261200,3154.100098,3154.100098,3154.100098,3154.100098,3154.100098,0.0,4207.819824,4217.240234000001,4187.310059,4197.580078,4197.580078,2150370000,16408.019531,16495.259766,16378.799805,16458.560547,16458.560547,184970000,1844.22998,1846.040039,1835.22998,1838.699951,1838.699951,3626120000,104.39,170.65,142.13,95.5,115.35,16.16,19.05,16.9,92.09,87.14,9.6,277.19,17.35,13.46,1.7,2.31,82.13,3.2,369.78,27.84,28.43,7.87,44.37,0.47,5.19,34.11,0.86,31.67,9.84,3.48,0
2014-01-21,15710.889647999997,15894.679688,15705.839844,15795.959961000002,15795.959961000002,154300.0,1175.050049,1177.109985,1168.280029,1175.719971,1175.719971,37824700,3153.080078,3153.080078,3153.080078,3153.080078,3153.080078,0.0,4222.97998,4227.930176,4193.169922,4225.759765999999,4225.759765999999,2034030000,16459.269531,16520.599609,16316.25,16414.439453,16414.439453,111570000,1841.050049,1849.310059,1832.380005,1843.800049,1843.800049,3782470000,104.46,171.5,141.49,95.3,114.63,16.1,18.96,16.9,92.03,87.03,9.63,277.38,17.36,13.47,1.7,2.32,81.83,3.18,369.25,27.86,28.44,7.89,44.29,0.47,5.15,34.08,0.86,31.51,9.82,3.48,1
2014-01-22,15749.009766,15870.530272999997,15631.410156,15820.959961000002,15820.959961000002,185300.0,1177.300049,1182.040039,1175.290039,1181.290039,1181.290039,33741700,3151.27002,3151.27002,3151.27002,3151.27002,3151.27002,0.0,4234.580078,4246.549805,4225.52002,4243.0,4243.0,2026910000,16420.480469,16453.490234,16332.980469,16373.339844,16373.339844,87470000,1844.709961,1846.869995,1840.880005,1844.859985,1844.859985,3374170000,104.26,171.88,141.5,95.1,114.61,16.1,18.96,16.92,92.42,86.74,9.62,276.85,17.29,13.44,1.69,2.3,81.64,3.18,368.54,27.81,28.39,7.86,44.31,0.47,5.14,34.02,0.86,31.31,9.76,3.45,1
2014-01-23,15900.629883,15958.580078,15690.450195,15695.889647999997,15695.889647999997,206900.0,1181.339966,1181.339966,1166.670044,1172.400024,1172.400024,39722500,3117.080078,3117.080078,3117.080078,3117.080078,3117.080078,0.0,4224.3598630000015,4224.439941,4192.279785,4218.879883,4218.879883,2191980000,16371.990234,16372.959961000002,16140.580078,16197.349609,16197.349609,100540000,1842.290039,1842.290039,1820.060059,1828.459961,1828.459961,3972250000,104.74,173.47,141.81,94.28,114.7,16.15,19.0,16.99,92.56,86.83,9.64,278.12,17.37,13.5,1.7,2.31,81.79,3.19,370.5,27.94,28.52,7.86,44.51,0.47,5.16,34.14,0.86,31.41,9.78,3.46,0
2014-01-24,15473.570313,15485.019531,15288.320313,15391.55957,15391.55957,221000.0,1164.77002,1164.77002,1141.800049,1144.130005,1144.130005,46184500,3028.199951,3028.199951,3028.199951,3028.199951,3028.199951,0.0,4194.970215,4197.930176,4128.169922,4128.169922,4128.169922,2489470000,16203.290038999998,16203.290038999998,15879.110352000003,15879.110352000003,15879.110352000003,141450000,1826.959961,1826.959961,1790.290039,1790.290039,1790.290039,4618450000,103.5,172.09,141.68,93.11,115.22,16.14,18.99,17.0,90.65,85.66,9.42,274.83,17.16,13.34,1.67,2.29,80.99,3.16,365.85,27.61,28.18,7.73,42.95,0.47,5.17,33.92,0.85,31.05,9.62,3.42,0
2014-01-27,15091.450195,15109.679688,14933.549805,15005.730469,15005.730469,223900.0,1147.390015,1147.430054,1121.119995,1127.72998,1127.72998,40452000,3014.6201170000004,3014.6201170000004,3014.6201170000004,3014.6201170000004,3014.6201170000004,0.0,4132.220215,4136.459961,4052.629883,4083.610107,4083.610107,2398280000,15879.049805,15942.769531,15783.549805,15837.879883,15837.879883,127540000,1791.030029,1795.97998,1772.880005,1781.560059,1781.560059,4045200000,102.33,168.75,139.98,92.53,114.35,15.91,18.76,16.69,89.02,84.26,9.2,271.65,16.95,13.18,1.63,2.26,80.1,3.12,362.74,27.3,27.87,7.61,43.39,0.46,5.08,33.29,0.84,30.6,9.45,3.39,0
2014-01-28,15038.639647999997,15088.120117,14952.830078,14980.160156,14980.160156,183100.0,1128.869995,1138.23999,1128.650024,1138.23999,1138.23999,34378300,3038.600098,3038.600098,3038.600098,3038.600098,3038.600098,0.0,4067.860107,4099.810059,4067.689941,4097.959961,4097.959961,2091180000,15840.839844,15945.889647999997,15840.839844,15928.55957,15928.55957,89110000,1783.0,1793.869995,1779.4899899999998,1792.5,1792.5,3437830000,102.68,170.15,140.35,92.42,114.46,15.99,18.81,16.7,89.99,84.5,9.25,272.58,17.01,13.22,1.63,2.27,80.56,3.13,364.37,27.39,27.96,7.68,43.43,0.46,5.12,33.32,0.84,30.77,9.53,3.39,0
2014-01-29,15164.339844,15383.910156,15159.919922,15383.910156,15383.910156,164800.0,1129.5,1134.180054,1119.800049,1122.449951,1122.449951,39640200,3011.449951,3011.449951,3011.449951,3011.449951,3011.449951,0.0,4060.610107,4091.27002,4044.76001,4051.429932,4051.429932,2231850000,15927.080078,15927.080078,15708.980469,15738.790038999998,15738.790038999998,109590000,1790.1500239999998,1790.1500239999998,1770.449951,1774.199951,1774.199951,3964020000,103.15,170.97,140.79,92.56,114.65,16.06,18.88,16.83,90.81,85.48,9.45,273.9,17.1,13.29,1.65,2.28,81.05,3.14,365.91,27.51,28.09,7.83,43.63,0.47,5.13,33.67,0.85,31.06,9.62,3.41,1
